Publisher,Original_Keyword,Brand_Non_Brand,total_visits
google,bb facial creams,NB,6.0
google,new foundation makeup,NB,9.0
bing,no clump mascara,NB,1.0
bing,powder makeup,NB,461.0
bing,mascara brand,NB,59.0
google,waterproof mascara,NB,1604.0
google,best rated mascara drugstore,NB,3.0
bing,navy mascara,NB,4.0
google,mascara for lower lashes,NB,15.0
google,best foundation for mature skin over 50,NB,15.0
google,best foundation for olive skin tone,NB,5.0
google,flawless matte foundation,NB,1.0
bing,best mascara with fibers,NB,1.0
google,best long lash mascara,NB,5.0
bing,best no smear mascara,NB,4.0
google,tinted moisturizer,NB,1116.0
google,ageless foundation,NB,17.0
google,mascara lashes,NB,4.0
google,mascara volume,NB,4.0
bing,smudge proof mascara,NB,13.0
google,lightweight foundation,NB,252.0
bing,best waterproof mascara,NB,122.0
google,fiber extensions mascara,NB,5.0
google,full coverage makeup foundation,NB,3.0
google,mascara that wont flake,NB,78.0
google,mascara primer drugstore,NB,1.0
google,smudge free foundation,NB,22.0
bing,best mascara eyelash lengthening,NB,10.0
google,what is a good mascara,NB,8.0
google,best fiber mascara,NB,63.0
google,mascara water based,NB,20.0
google,foundation for women over 40,NB,4.0
google,good foundation for dry skin,NB,9.0
google,how to get the perfect foundation,NB,3.0
google,foundation for women over 50,NB,40.0
bing,the best mascara ever,NB,51.0
google,lash tint mascara,NB,3.0
google,curling mascara,NB,86.0
google,spf makeup foundation,NB,16.0
google,light coverage foundation,NB,8.0
bing,long lash mascara,NB,977.0
bing,best mascara for long thick lashes,NB,1.0
bing,best mascara no clump,NB,3.0
google,best mascara no clumping,NB,8.0
google,best coverage foundation makeup,NB,1.0
google,what is the best cc,NB,1.0
google,what is the best foundation for dry skin,NB,2.0
google,makeup foundation for oily skin,NB,1.0
google,best mascara straight lashes,NB,6.0
google,foundation to even skin tone,NB,3.0
google,foundation acne prone skin,NB,13.0
bing,best mascara to lengthen lashes,NB,3.0
bing,best mascara for short thin lashes,NB,4.0
google,mascara for straight lashes,NB,19.0
google,bottom lash mascara,NB,48.0
google,fiber infused mascara,NB,5.0
google,over 50 foundation,NB,8.0
google,oily skin foundation,NB,2.0
google,best smudge proof mascara,NB,70.0
google,best mascara for short stubby lashes,NB,5.0
google,top 10 makeup foundations,NB,2.0
google,foundation for aging skin,NB,33.0
bing,waterproof mascara,NB,104.0
google,drugstore lengthening mascara,NB,1.0
google,mascara longer eyelashes,NB,2.0
google,best washable waterproof mascara,NB,5.0
google,which mascara is the best,NB,4.0
google,longwear mascara,NB,4.0
google,bold lashes mascara,NB,1.0
google,best mascara lengthening,NB,9.0
google,best no smear mascara,NB,5.0
google,best mascara primer drugstore,NB,2.0
google,best full coverage foundation,NB,1.0
bing,best volume mascara,NB,4.0
bing,best non clumping mascara,NB,142.0
bing,mascara brands,NB,1.0
google,best foundation for over 60,NB,39.0
bing,best mascara brush,NB,1.0
bing,powder compact,NB,8.0
google,top rated mascara,NB,32.0
google,longer eyelashes mascara,NB,4.0
google,short lash mascara,NB,2.0
google,mascara color,NB,6.0
google,moisturizing foundation,NB,246.0
google,best combination skin foundation,NB,1.0
google,foundation with spf,NB,105.0
google,best mascara for bold lashes,NB,2.0
google,best volumizing mascara,NB,27.0
google,good makeup foundation,NB,4.0
google,best foundation for acne,NB,15.0
google,matte foundation finish,NB,7.0
google,best foundation for dry sensitive skin,NB,29.0
bing,long lashes best mascara,NB,1.0
bing,mascara for short eyelashes,NB,2.0
bing,flake free mascara,NB,2.0
google,top mascara brands,NB,1.0
google,warm undertones foundation,NB,5.0
bing,best mascara for volume,NB,27.0
bing,bottom lash mascara,NB,7.0
google,best mascara over the counter,NB,6.0
google,waterproof drugstore mascara,NB,1.0
google,best foundation for uneven skin,NB,2.0
google,bb cream for sensitive skin,NB,10.0
google,tan foundation,NB,6.0
bing,best mascara for curly eyelashes,NB,1.0
google,newest mascara,NB,20.0
bing,baking powder,NB,9.0
google,mascara drugstore,NB,7.0
google,best foundation makeup,NB,4.0
google,skin milk,NB,9.0
